Species,positive_count,negative_count
Megamonas funiformis,12,2
Anaerobutyricum hallii,12,0
Bacteroides intestinalis,12,0
Bifidobacterium catenulatum,12,0
Dorea longicatena,12,0
Lactobacillus hominis,12,0
Lactobacillus pobuzihii,12,0
Lactobacillus shenzhenensis,12,0
Lactococcus lactis,12,0
Megamonas hypermegale,12,0
Thermus oshimai,12,0
Thermoclostridium stercorarium,11,11
Sphaerobacter thermophilus,11,9
Clostridium tyrobutyricum,11,8
Clostridium citroniae,11,5
Streptococcus oralis,11,4
Caloramator australicus,11,2
Capnocytophaga cynodegmi,11,2
Roseburia hominis,11,2
Thermodesulfobacterium thermophilum,11,2
Bacteroides uniformis,11,0
Blautia producta,11,0
Collinsella aerofaciens,11,0
Desulfovibrio magneticus,11,0
Desulfovibrio vulgaris,11,0
Fibrobacter succinogenes,11,0
Lactobacillus animalis,11,0
Lactobacillus delbrueckii,11,0
Lactobacillus murinus,11,0
Lactobacillus pasteurii,11,0
Listeria monocytogenes,11,0
Saccharomyces cerevisiae,11,0
Trypanosoma cruzi,11,0
Parabacteroides johnsonii,10,4
Desulfovibrio alaskensis,10,3
Desulfovibrio desulfuricans,10,3
Desulfovibrio piger,10,3
Acidaminococcus fermentans,10,0
Actinobacillus succinogenes,10,0
Alistipes indistinctus,10,0
Bacteroides dorei,10,0
Bacteroides finegoldii,10,0
Bifidobacterium angulatum,10,0
Bifidobacterium gallicum,10,0
Blautia hydrogenotrophica,10,0
Coprococcus eutactus,10,0
Desulfarculus baarsii,10,0
Desulfotomaculum reducens,10,0
Desulfovibrio fructosivorans,10,0
Desulfovibrio hydrothermalis,10,0
Desulfovibrio longus,10,0
Desulfovibrio oxyclinae,10,0
Eubacterium rectale,10,0
Flavobacterium johnsoniae,10,0
Lactobacillus gastricus,10,0
Lactobacillus helveticus,10,0
Lactobacillus oris,10,0
Lactobacillus vini,10,0
Pelobacter carbinolicus,10,0
Porphyromonas gingivalis,10,0
Saccharolobus solfataricus,10,0
Shigella boydii,10,0
Syntrophobacter fumaroxidans,10,0
Varibaculum cambriense,10,0
Bacteroides massiliensis,9,14
Treponema succinifaciens,9,10
Elizabethkingia anophelis,9,9
Parabacteroides merdae,9,6
Treponema primitia,9,6
Streptococcus intermedius,9,5
Desulfovibrio gigas,9,2
Brachyspira intermedia,9,1
Anaerococcus prevotii,9,0
Bacillus subtilis,9,0
Coprococcus comes,9,0
Halobacteroides halobius,9,0
Lactobacillus amylovorus,9,0
Lactobacillus antri,9,0
Lactobacillus crispatus,9,0
Lactobacillus equicursoris,9,0
Lactobacillus farciminis,9,0
Lactobacillus gigeriorum,9,0
Lactobacillus kefiranofaciens,9,0
Lactobacillus ruminis,9,0
Lactobacillus ultunensis,9,0
Lactobacillus vaginalis,9,0
Pelotomaculum thermopropionicum,9,0
Prevotella copri,9,0
Streptococcus parasanguinis,9,0
Capnocytophaga canimorsus,8,11
Enterococcus caccae,8,9
Streptococcus pasteurianus,8,7
Clostridium arbusti,8,6
Elizabethkingia meningoseptica,8,5
Streptococcus constellatus,8,5
Odoribacter splanchnicus,8,3
Streptococcus vestibularis,8,3
Bacteroides nordii,8,2
Lachnobacterium bovis,8,1
Parabacteroides goldsteinii,8,1
Acetohalobium arabaticum,8,0
Aeromicrobium marinum,8,0
Anaerococcus lactolyticus,8,0
Anaerococcus tetradius,8,0
Anaerococcus vaginalis,8,0
Blautia obeum,8,0
Butyrivibrio crossotus,8,0
Clostridium butyricum,8,0
Clostridium kluyveri,8,0
Deinococcus radiodurans,8,0
Ruminiclostridium papyrosolvens,8,0
Absiella dolichum,7,8
Gemella morbillorum,7,7
Flavobacterium branchiophilum,7,1
Succinispira mobilis,7,1
Thermodesulfatator indicus,7,1
Achromobacter piechaudii,7,0
Aeromonas hydrophila,7,0
Aminobacterium colombiense,7,0
Anaerococcus hydrogenalis,7,0
Corynebacterium ammoniagenes,7,0
Desulfobulbus propionicus,7,0
Dorea formicigenerans,7,0
Lachnoanaerobaculum saburreum,7,0
Lactobacillus sakei,7,0
Lactobacillus suebicus,7,0
Leptotrichia buccalis,7,0
Moorella thermoacetica,7,0
Pediococcus acidilactici,7,0
Pelobacter propionicus,7,0
Plasmodium knowlesi,7,0
Streptococcus mutans,7,0
Syntrophobotulus glycolicus,7,0
Syntrophus aciditrophicus,7,0
Proteiniphilum acetatigenes,6,23
Thermus islandicus,6,18
Streptococcus cristatus,6,7
Staphylococcus pasteuri,6,1
Aminomonas paucivorans,6,0
Calditerrivibrio nitroreducens,6,0
Clostridium leptum,6,0
Collinsella intestinalis,6,0
Corynebacterium diphtheriae,6,0
Desulfofarcimen acetoxidans,6,0
Faecalibacterium prausnitzii,6,0
Intestinibacter bartlettii,6,0
Lachnoclostridium phytofermentans,6,0
Lactobacillus acidipiscis,6,0
Lactobacillus amylolyticus,6,0
Lactobacillus equi,6,0
Leptotrichia goodfellowii,6,0
Naumovozyma dairenensis,6,0
Pseudomonas aeruginosa,6,0
Pyrococcus furiosus,6,0
Tetrapisispora phaffii,6,0
Veillonella parvula,6,0
Xanthomonas campestris,6,0
Alloprevotella rava,5,11
Gemella sanguinis,5,6
Helcococcus kunzii,5,5
Peptoniphilus indolicus,5,5
Ignavibacterium album,5,4
Leptotrichia shahii,5,2
Aeromonas salmonicida,5,0
Anaerostipes caccae,5,0
Bacillus coagulans,5,0
Bacteroides eggerthii,5,0
Clostridium beijerinckii,5,0
Clostridium hiranonis,5,0
Clostridium hylemonae,5,0
Clostridium scindens,5,0
Collinsella stercoris,5,0
Desulfohalovibrio alkalitolerans,5,0
Fusobacterium necrophorum,5,0
Lactobacillus coryniformis,5,0
Lactobacillus jensenii,5,0
Lactobacillus mali,5,0
Lactobacillus mucosae,5,0
Lactobacillus rossiae,5,0
Lactobacillus saerimneri,5,0
Leishmania major,5,0
Leptotrichia hofstadii,5,0
Methanosarcina acetivorans,5,0
Methanosarcina barkeri,5,0
Methanosarcina mazei,5,0
Peptoniphilus lacrimalis,5,0
Plasmodium falciparum,5,0
Streptococcus gordonii,5,0
Syntrophothermus lipocalidus,5,0
Zymomonas mobilis,4,24
Oscillibacter valericigenes,4,5
Mycoplasma yeatsii,4,1
Ruminococcus flavefaciens,4,1
Acetoanaerobium sticklandii,4,0
Acholeplasma laidlawii,4,0
Achromobacter xylosoxidans,4,0
Alicycliphilus denitrificans,4,0
Anaerococcus obesiensis,4,0
Bacteroides coprosuis,4,0
Bacteroides stercoris,4,0
Brucella abortus,4,0
Brucella melitensis,4,0
Buchnera aphidicola,4,0
Clostridium novyi,4,0
Coprococcus catus,4,0
Corynebacterium glutamicum,4,0
Desulfocurvibacter africanus,4,0
Desulfotomaculum nigrificans,4,0
Hippea alviniae,4,0
Lactobacillus curvatus,4,0
Lactobacillus fructivorans,4,0
Lactobacillus malefermentans,4,0
Lactobacillus versmoldensis,4,0
Melissococcus plutonius,4,0
Neisseria gonorrhoeae,4,0
Propionibacterium freudenreichii,4,0
Pseudodesulfovibrio aespoeensis,4,0
Ruminococcus torques,4,0
Salmonella enterica,4,0
Sphingobium japonicum,4,0
Staphylococcus aureus,4,0
Streptococcus australis,4,0
Streptococcus pyogenes,4,0
Streptococcus sanguinis,4,0
Sulfolobus acidocaldarius,4,0
Thermotoga maritima,4,0
Trypanosoma brucei,4,0
Halanaerobium praevalens,3,7
Leptotrichia wadei,3,2
Pseudodesulfovibrio piezophilus,3,2
Flavobacterium frigoris,3,1
Mycoplasma iowae,3,1
Thermodesulfobium narugense,3,1
Turicibacter sanguinis,3,1
Akkermansia muciniphila,3,0
Blautia hansenii,3,0
Clostridium bolteae,3,0
Clostridium carboxidivorans,3,0
Clostridium cellulovorans,3,0
Clostridium ljungdahlii,3,0
Clostridium methylpentosum,3,0
Clostridium saccharolyticum,3,0
Clostridium sp. ASF356,3,0
Clostridium sp. ASF502,3,0
Clostridium symbiosum,3,0
Clostridium ultunense,3,0
Comamonas testosteroni,3,0
Enterococcus asini,3,0
Enterococcus avium,3,0
Enterococcus casseliflavus,3,0
Enterococcus cecorum,3,0
Enterococcus columbae,3,0
Enterococcus dispar,3,0
Enterococcus durans,3,0
Enterococcus gilvus,3,0
Enterococcus hirae,3,0
Enterococcus italicus,3,0
Enterococcus malodoratus,3,0
Enterococcus moraviensis,3,0
Enterococcus mundtii,3,0
Enterococcus pallens,3,0
Enterococcus raffinosus,3,0
Enterococcus saccharolyticus,3,0
Enterococcus sulfureus,3,0
Eubacterium limosum,3,0
Eubacterium siraeum,3,0
Eubacterium yurii,3,0
Finegoldia magna,3,0
Gemella bergeri,3,0
Haemophilus parainfluenzae,3,0
Haloferax volcanii,3,0
Hungateiclostridium thermocellum,3,0
Lactobacillus coleohominis,3,0
Lactobacillus florum,3,0
Lactobacillus sanfranciscensis,3,0
Methanosphaera stadtmanae,3,0
Mycolicibacterium smegmatis,3,0
Mycoplasma putrefaciens,3,0
Paeniclostridium sordellii,3,0
Peptoniphilus harei,3,0
Peptostreptococcus anaerobius,3,0
Rhizobium leguminosarum,3,0
Rhodobacter capsulatus,3,0
Roseburia inulinivorans,3,0
Ruminococcus gnavus,3,0
Shigella dysenteriae,3,0
Shigella sonnei,3,0
Spiroplasma melliferum,3,0
Streptococcus agalactiae,3,0
Streptococcus anginosus,3,0
Streptococcus caballi,3,0
Streptococcus canis,3,0
Streptococcus criceti,3,0
Streptococcus didelphis,3,0
Streptococcus downei,3,0
Streptococcus dysgalactiae,3,0
Streptococcus entericus,3,0
Streptococcus equi,3,0
Streptococcus ferus,3,0
Streptococcus henryi,3,0
Streptococcus ictaluri,3,0
Streptococcus infantarius,3,0
Streptococcus infantis,3,0
Streptococcus iniae,3,0
Streptococcus macacae,3,0
Streptococcus macedonicus,3,0
Streptococcus marimammalium,3,0
Streptococcus massiliensis,3,0
Streptococcus merionis,3,0
Streptococcus minor,3,0
Streptococcus mitis,3,0
Streptococcus orisratti,3,0
Streptococcus ovis,3,0
Streptococcus parauberis,3,0
Streptococcus peroris,3,0
Streptococcus pneumoniae,3,0
Streptococcus porcinus,3,0
Streptococcus pseudopneumoniae,3,0
Streptococcus pseudoporcinus,3,0
Streptococcus ratti,3,0
Streptococcus sobrinus,3,0
Streptococcus suis,3,0
Streptococcus thoraltensis,3,0
Streptococcus uberis,3,0
Tetrapisispora blattae,3,0
Lactobacillus ingluviei,2,13
Thermodesulfobacterium geofontis,2,4
Mycoplasma auris,2,3
Mycoplasma columbinum,2,2
Mycoplasma cynos,2,2
Campylobacter ureolyticus,2,1
Mycoplasma arginini,2,1
Spiroplasma chrysopicola,2,1
Spiroplasma syrphidicola,2,1
Agrobacterium tumefaciens,2,0
Alistipes onderdonkii,2,0
Alistipes shahii,2,0
Bacteroides pectinophilus,2,0
Butyricimonas synergistica,2,0
Caldisericum exile,2,0
Caldithrix abyssi,2,0
Campylobacter jejuni,2,0
Cetobacterium somerae,2,0
Chromobacterium violaceum,2,0
Cutibacterium acnes,2,0
Desulfitobacterium hafniense,2,0
Empedobacter brevis,2,0
Erysipelothrix rhusiopathiae,2,0
Haemophilus influenzae,2,0
Haloarcula marismortui,2,0
Hungateiclostridium clariflavum,2,0
Lactobacillus iners,2,0
Lactobacillus sp. ASF360,2,0
Megasphaera micronuciformis,2,0
Methanobrevibacter smithii,2,0
Mycoplasma capricolum,2,0
Peptoniphilus duerdenii,2,0
Picrophilus torridus,2,0
Plasmodium vivax,2,0
Pseudomonas mendocina,2,0
Pyramidobacter piscolens,2,0
Roseobacter denitrificans,2,0
Ruminiclostridium cellulolyticum,2,0
Schaalia odontolytica,2,0
Selenomonas artemidis,2,0
Selenomonas flueggei,2,0
Selenomonas noxia,2,0
Selenomonas sputigena,2,0
Shewanella putrefaciens,2,0
Sinorhizobium meliloti,2,0
Sodalis glossinidius,2,0
Sutterella wadsworthensis,2,0
Thermococcus kodakarensis,2,0
Tyzzerella nexilis,2,0
Wolinella succinogenes,2,0
Filifactor alocis,1,12
Catellicoccus marimammalium,1,10
Streptococcus urinalis,1,10
Thermodesulfatator atlanticus,1,4
Mycoplasma alkalescens,1,2
Spiroplasma diminutum,1,2
Spiroplasma taiwanense,1,2
Chlorobium phaeobacteroides,1,1
Psychroflexus gondwanensis,1,1
Acetobacter pasteurianus,1,0
Acidiphilium cryptum,1,0
Acidithiobacillus caldus,1,0
Aeropyrum pernix,1,0
Aggregatibacter actinomycetemcomitans,1,0
Alistipes senegalensis,1,0
Archaeoglobus fulgidus,1,0
Azotobacter vinelandii,1,0
Bacillus megaterium,1,0
Bacteroides barnesiae,1,0
Bacteroides cellulosilyticus,1,0
Bacteroides clarus,1,0
Bacteroides coprocola,1,0
Bacteroides coprophilus,1,0
Bacteroides faecis,1,0
Bacteroides fluxus,1,0
Bacteroides gallinarum,1,0
Bacteroides helcogenes,1,0
Bacteroides oleiciplenus,1,0
Bacteroides plebeius,1,0
Bacteroides propionicifaciens,1,0
Bacteroides salanitronis,1,0
Bacteroides salyersiae,1,0
Bergeyella zoohelcum,1,0
Brevibacillus brevis,1,0
Campylobacter coli,1,0
Campylobacter concisus,1,0
Campylobacter curvus,1,0
Campylobacter fetus,1,0
Campylobacter gracilis,1,0
Campylobacter hominis,1,0
Campylobacter lari,1,0
Campylobacter rectus,1,0
Campylobacter showae,1,0
Campylobacter upsaliensis,1,0
Citrobacter koseri,1,0
Citrobacter rodentium,1,0
Citrobacter youngae,1,0
Denitrovibrio acetiphilus,1,0
Desulfatibacillum alkenivorans,1,0
Desulfobacterium autotrophicum,1,0
Desulfurivibrio alkaliphilus,1,0
Desulfurobacterium thermolithotrophum,1,0
Dethiobacter alkaliphilus,1,0
Enterobacter cancerogenus,1,0
Enterobacter cloacae,1,0
Eubacterium eligens,1,0
Fusobacterium mortiferum,1,0
Geobacter bemidjiensis,1,0
Geobacter lovleyi,1,0
Geobacter sulfurreducens,1,0
Geobacter uraniireducens,1,0
Gluconobacter oxydans,1,0
Halobacterium salinarum,1,0
Helicobacter cetorum,1,0
Helicobacter macacae,1,0
Helicobacter pylori,1,0
Hungateiclostridium cellulolyticum,1,0
Ilyobacter polytropus,1,0
Leishmania infantum,1,0
Melioribacter roseus,1,0
Methanobrevibacter ruminantium,1,0
Methanocaldococcus jannaschii,1,0
Methanocaldococcus villosus,1,0
Methanococcus maripaludis,1,0
Methanohalophilus mahii,1,0
Methanosphaerula palustris,1,0
Methanospirillum hungatei,1,0
Methanothrix thermoacetophila,1,0
Methylophaga thiooxydans,1,0
Methylorubrum extorquens,1,0
Mycobacterium avium,1,0
Mycobacterium leprae,1,0
Mycobacterium tuberculosis,1,0
Mycoplasma agalactiae,1,0
Mycoplasma alligatoris,1,0
Mycoplasma arthritidis,1,0
Mycoplasma bovis,1,0
Mycoplasma conjunctivae,1,0
Mycoplasma crocodyli,1,0
Mycoplasma fermentans,1,0
Mycoplasma gallisepticum,1,0
Mycoplasma genitalium,1,0
Mycoplasma haemofelis,1,0
Mycoplasma hominis,1,0
Mycoplasma hyopneumoniae,1,0
Mycoplasma hyorhinis,1,0
Mycoplasma leachii,1,0
Mycoplasma mobile,1,0
Mycoplasma mycoides,1,0
Mycoplasma penetrans,1,0
Mycoplasma pneumoniae,1,0
Mycoplasma pulmonis,1,0
Mycoplasma synoviae,1,0
Myroides odoratimimus,1,0
Myroides odoratus,1,0
Neisseria subflava,1,0
Oxalobacter formigenes,1,0
Paenibacillus larvae,1,0
Paenibacillus polymyxa,1,0
Peptoniphilus rhinitidis,1,0
Peptoniphilus sp. BV3C26,1,0
Peptoniphilus timonensis,1,0
Plasmodium berghei,1,0
Plasmodium yoelii,1,0
Prevotella melaninogenica,1,0
Proteus mirabilis,1,0
Proteus penneri,1,0
Pyrobaculum aerophilum,1,0
Pyrococcus abyssi,1,0
Pyrococcus horikoshii,1,0
Ralstonia pickettii,1,0
Rhodopseudomonas palustris,1,0
Rhodospirillum rubrum,1,0
Ruminococcus lactaris,1,0
Shewanella denitrificans,1,0
Shigella flexneri,1,0
Thermoanaerobacter ethanolicus,1,0
Thermoanaerobacter italicus,1,0
Thermoanaerobacter mathranii,1,0
Thermoanaerobacter pseudethanolicus,1,0
Thermoanaerobacter wiegelii,1,0
Thermoanaerobacterium thermosaccharolyticum,1,0
Thermococcus barophilus,1,0
Thermococcus gammatolerans,1,0
Thermococcus onnurineus,1,0
Thermococcus sibiricus,1,0
Thermoplasma acidophilum,1,0
Thiobacillus denitrificans,1,0
Ureaplasma parvum,1,0
Ureaplasma urealyticum,1,0
Veillonella atypica,1,0
Veillonella dispar,1,0
Johnsonella ignava,0,19
Eubacterium brachy,0,2
Flavobacterium columnare,0,1
